step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
255,215278,510,0.03419271719409107,0.5,0.75,,,,,
256,216464,512,0.016489210197457423,1.0,1.0,,,,,
257,216706,514,0.02796362070935963,1.0,1.0,0.021287571509104736,1.0,1.0,,
258,217012,516,0.034570669027341766,1.0,1.0,,,,,
259,217798,518,0.020366514569051312,1.0,1.0,,,,,
260,218184,520,0.019554279378450404,1.0,1.0,,,,,
261,218634,522,0.024451366014565275,1.0,1.0,,,,,
262,220460,524,0.0066618707398169805,1.0,1.0,,,,,
263,221054,526,0.0251856574583016,1.0,1.0,,,,,
264,223184,528,0.01486621047286493,1.0,1.0,,,,,
265,223922,530,0.012096116282716101,1.0,1.0,0.045683592063880785,0.5,0.75,,
266,224660,532,0.019522586369221245,1.0,1.0,,,,,
267,226134,534,0.018727905645625032,1.0,1.0,,,,,
268,226600,536,0.03837480741918735,0.5,0.75,,,,,
269,227210,538,0.01748087886374426,1.0,1.0,,,,,
270,227564,540,0.020573800806361595,1.0,1.0,,,,,
271,227854,542,0.021407483865346476,1.0,1.0,,,,,
272,228912,544,0.01957718513103607,1.0,1.0,,,,,
273,229906,546,0.013017139908696544,1.0,1.0,0.018724847443921437,1.0,1.0,,
274,231204,548,0.015707850495278244,0.5,0.75,,,,,
275,231510,550,0.02574242541286941,0.5,0.75,,,,,
276,232120,552,0.018997787982695486,1.0,1.0,,,,,
277,232938,554,0.01860132168485114,1.0,1.0,,,,,
278,233308,556,0.026551458866252577,1.0,1.0,,,,,
279,233822,558,0.026471233406926337,1.0,1.0,,,,,
280,235280,560,0.019924634402148433,1.0,1.0,,,,,
281,235826,562,0.026361908758779914,1.0,1.0,0.019318046125943865,1.0,1.0,,
282,236212,564,0.027864321586451603,1.0,1.0,,,,,
283,237430,566,0.025119002634899662,0.5,0.75,,,,,
284,238232,568,0.023343329096314848,0.5,0.75,,,,,
285,240394,570,0.01803761659051438,1.0,1.0,,,,,
286,240908,572,0.02437631831739992,1.0,1.0,,,,,
287,241294,574,0.02064540345232975,1.0,1.0,,,,,
288,242224,576,0.02218275525059214,1.0,1.0,,,,,
289,242546,578,0.024228556454329465,1.0,1.0,0.026012010879306165,0.5,0.75,,
290,242660,580,0.024486296318451162,1.0,1.0,,,,,
291,242982,582,0.018536382608562232,1.0,1.0,,,,,
292,243240,584,0.025863957906167342,1.0,1.0,,,,,
293,243690,586,0.019226402305643465,1.0,1.0,,,,,
294,246300,588,0.01611553552892284,1.0,1.0,,,,,
295,246574,590,0.014564167150469183,1.0,1.0,,,,,
296,247312,592,0.019606585499226958,1.0,1.0,,,,,
297,249890,594,0.019010991491668617,0.5,0.75,0.02990291376185549,1.0,1.0,,
298,251748,596,0.01822483673047827,1.0,1.0,,,,,
299,252166,598,0.02503995821063654,1.0,1.0,,,,,
300,254232,600,0.013587646207010421,1.0,1.0,,,,,
301,254986,602,0.0088534646986764,1.0,1.0,,,,,
302,255996,604,0.02558639489449267,1.0,1.0,,,,,
303,257486,606,0.011536253878942956,1.0,1.0,,,,,
304,258176,608,0.016197018420531114,1.0,1.0,,,,,
305,261314,610,0.017641334645403715,1.0,1.0,0.01495352462015188,1.0,1.0,,
306,262676,612,0.02237033943698749,1.0,1.0,,,,,
307,262902,614,0.02607006962704223,1.0,1.0,,,,,
308,263240,616,0.03086076587831485,0.5,0.75,,,,,
309,263658,618,0.020520247373408962,0.5,0.75,,,,,
310,264284,620,0.022441021474729872,1.0,1.0,,,,,
